TieuSo,FPL Galaticos,28,46
Bom&Sup,savapain,61,51
Nikop,ORANJE,46,39
Fenix,HoàngĐạiCa,41,70
Red Arrows,BVB13,38,51
NTPH,Szoboszlai,53,60
