TieuSo,savapain,38,53
FPL Galaticos,ORANJE,46,53
Bom&Sup,HoàngĐạiCa,52,44
Nikop,BVB13,43,50
Fenix,Szoboszlai,61,42
Red Arrows,NTPH,35,61
