TieuSo,BVB13,62,65
HoàngĐạiCa,Szoboszlai,74,89
ORANJE,NTPH,72,49
savapain,Red Arrows,78,59
FPL Galaticos,Fenix,88,77
Bom&Sup,Nikop,67,64
