Bom&Sup,FPL Galaticos,33,69
BVB13,Szoboszlai,49,48
Fenix,savapain,59,74
Nikop,TieuSo,49,20
ORANJE,HoàngĐạiCa,78,54
NTPH,Red Arrows,66,33
